PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
54,1,3,Miss Emma Wilson,female,52.42,0,2,A_00054,35.59,,Q
55,1,1,Mr William Davis,male,20.01,0,0,A_00055,53.05,,Q
56,0,3,Mr Edward Brown,male,16.52,1,0,A_00056,18.06,,S
57,0,3,Mr Charles Miller,male,44.3,0,1,A_00057,135.38,C84,S
58,0,3,Mr James Johnson,male,9.82,3,0,A_00058,54.17,B102,S
59,0,3,Mrs Margaret Johnson,female,13.6,0,0,A_00059,90.06,,S
60,1,3,Miss Mary Jones,female,18.41,0,0,A_00060,92.07,B138,S
61,1,1,Master John Miller,male,44.94,2,0,PC_00061,82.0,,S
62,0,1,Mr John Brown,male,47.26,1,0,A_00062,20.54,,S
63,1,1,Mrs Mary Jones,female,21.95,0,0,A_00063,47.5,B139,S
64,1,2,Mr Charles Johnson,male,32.97,0,1,A_00064,51.07,,C
65,0,3,Master John Wilson,male,10.08,2,0,A_00065,209.94,,S
66,1,1,Miss Sarah Jones,female,15.54,0,0,A_00066,32.72,,S
67,1,1,Miss Alice Johnson,female,53.27,1,0,A_00067,47.35,,Q
68,1,2,Miss Sarah Miller,female,37.53,0,0,A_00068,85.36,,S
69,1,3,Miss Emma Johnson,female,7.01,0,0,A_00069,63.42,,S
70,1,1,Mr George Jones,male,17.48,0,1,PC_00070,133.22,,S
71,1,3,Miss Alice Davis,female,24.63,0,0,A_00071,22.38,C84,S
72,0,3,Mr John Miller,male,7.47,0,0,A_00072,147.4,,S
73,1,3,Mr James Johnson,male,33.21,0,0,PC_00073,6.04,,Q
74,1,1,Master Edward Miller,male,38.79,1,1,A_00074,22.87,,C
75,1,3,Mr James Williams,male,7.82,0,1,PC_00075,123.05,,S
76,1,3,Mr Edward Johnson,male,39.22,2,0,PC_00076,36.35,,Q
77,1,2,Miss Mary Wilson,female,40.33,2,0,A_00077,137.77,,S
78,0,2,Mr Charles Smith,male,29.26,0,0,A_00078,291.16,,S
79,0,3,Mr Robert Williams,male,28.31,0,0,A_00079,169.74,,C
80,1,2,Mrs Sarah Williams,female,33.53,0,0,A_00080,66.39,,S
81,0,1,Mr George Johnson,male,22.59,2,0,A_00081,74.77,,S
82,0,2,Mr Edward Smith,male,19.23,2,0,A_00082,49.22,,C
83,0,3,Mr Edward Wilson,male,18.86,1,0,PC_00083,16.84,D50,S
84,0,2,Miss Margaret Smith,female,50.61,0,0,A_00084,106.55,,S
85,1,3,Mr James Smith,male,7.21,0,2,A_00085,36.29,,S
86,1,2,Master Robert Williams,male,16.04,0,0,A_00086,169.93,,C
87,0,3,Miss Emma Wilson,female,33.53,1,0,A_00087,31.97,E62,S
88,0,3,Mr John Davis,male,31.09,0,0,A_00088,71.84,D96,S
89,1,2,Mr Edward Williams,male,39.58,1,0,A_00089,201.88,,S
90,0,3,Mr James Davis,male,20.18,1,2,A_00090,15.23,,S
91,0,2,Mrs Alice Miller,female,17.46,1,1,A_00091,66.77,,S
92,1,2,Miss Anna Jones,female,31.33,1,0,A_00092,127.13,,S
93,0,2,Mrs Mary Williams,female,25.28,1,0,A_00093,23.45,,S
94,1,2,Mr John Williams,male,11.13,0,2,A_00094,14.07,,S
95,0,3,Master Robert Brown,male,28.96,0,0,PC_00095,54.72,,S
96,1,2,Mrs Emma Williams,female,27.55,1,1,A_00096,64.64,,C
97,0,3,Mrs Mary Johnson,female,29.24,0,0,A_00097,113.34,,S
98,0,3,Master Edward Williams,male,65.59,0,3,A_00098,140.22,E15,S
99,0,3,Mr George Jones,male,23.39,2,0,A_00099,58.64,F44,Q
100,0,3,Mr George Jones,male,7.97,1,0,A_00100,55.43,,S
101,1,1,Mrs Margaret Miller,female,24.87,1,0,A_00101,82.14,C132,S
102,0,3,Master William Miller,male,27.9,0,0,A_00102,59.67,,S
103,1,1,Mr Charles Wilson,male,47.11,0,0,PC_00103,90.57,A111,S
104,1,1,Mr Charles Jones,male,23.6,0,0,A_00104,115.43,,S
105,0,3,Mr John Williams,male,13.55,4,0,A_00105,72.75,,S
106,0,3,Mr Charles Jones,male,44.2,0,0,A_00106,263.43,C29,S
107,0,3,Mr George Smith,male,54.95,1,0,A_00107,94.3,F98,S
108,1,1,Miss Elisabeth Brown,female,23.73,1,0,A_00108,204.2,,S
109,0,2,Mr Robert Brown,male,49.3,0,0,A_00109,152.85,,S
110,1,2,Miss Sarah Davis,female,44.89,0,0,A_00110,115.07,,S
111,0,2,Miss Mary Brown,female,36.56,1,0,A_00111,115.48,D85,C
112,0,3,Master John Brown,male,46.06,0,2,A_00112,44.83,,S
113,1,3,Ms Sarah Wilson,female,48.8,0,2,A_00113,117.11,E120,S
114,1,2,Miss Sarah Davis,female,13.88,0,0,A_00114,8.6,,S
115,0,1,Miss Anna Smith,female,20.19,0,0,PC_00115,54.8,,S
116,1,1,Mrs Margaret Brown,female,28.01,1,2,PC_00116,330.1,B117,S
117,0,3,Master John Wilson,male,24.52,0,0,A_00117,148.22,,Q
118,0,3,Master Robert Smith,male,13.56,0,1,A_00118,87.38,,S
119,1,2,Mr John Smith,male,24.32,1,0,A_00119,236.72,D9,S
120,0,2,Mr John Williams,male,4.57,1,2,A_00120,74.36,,S
121,0,1,Mr Edward Brown,male,31.55,0,0,PC_00121,11.4,,S
122,1,2,Miss Mary Wilson,female,35.09,1,0,A_00122,198.34,,C
123,1,1,Mrs Margaret Miller,female,25.93,0,1,PC_00123,19.67,,S
124,0,3,Mr James Davis,male,26.14,0,0,A_00124,180.33,,S
125,0,2,Mr Robert Williams,male,16.92,0,1,A_00125,61.44,,S
126,1,2,Mr Edward Brown,male,27.08,0,1,A_00126,18.61,,S
127,1,2,Miss Margaret Miller,female,13.37,0,2,A_00127,112.83,,S
128,1,1,Miss Sarah Davis,female,24.43,2,0,PC_00128,81.81,B98,Q
129,0,3,Mr James Williams,male,50.51,0,1,PC_00129,97.41,,S
130,1,1,Miss Alice Miller,female,32.57,0,1,PC_00130,34.64,,C
131,0,3,Miss Elisabeth Johnson,female,30.31,0,0,A_00131,108.62,,S
132,0,1,Mr Edward Smith,male,19.79,1,0,PC_00132,51.92,,S
133,0,3,Master Robert Jones,male,28.99,1,0,PC_00133,106.73,C140,Q
134,1,3,Mr William Davis,male,44.02,2,0,A_00134,189.88,,S
135,1,2,Mrs Sarah Davis,female,51.46,0,0,A_00135,69.22,,Q
136,0,3,Miss Elisabeth Johnson,female,27.46,0,0,PC_00136,42.6,F40,S
137,0,3,Mr James Johnson,male,21.81,0,0,A_00137,42.87,,S
138,0,3,Mr William Johnson,male,19.63,1,0,PC_00138,105.0,,C
139,0,2,Miss Alice Williams,female,39.52,0,0,A_00139,78.31,,S
140,0,3,Mr Edward Davis,male,16.13,0,0,A_00140,136.95,,S
141,1,1,Mrs Anna Wilson,female,0.42,0,0,PC_00141,220.79,,C
142,0,2,Mr John Miller,male,26.04,0,0,A_00142,121.13,,S
143,0,3,Ms Margaret Davis,female,16.52,0,0,PC_00143,130.31,B131,S
144,0,3,Mr James Davis,male,34.79,0,0,A_00144,154.34,F37,C
145,1,2,Mr John Miller,male,43.26,0,0,A_00145,173.5,,C
146,1,1,Miss Sarah Brown,female,21.55,0,0,A_00146,80.09,,S
147,1,1,Mr George Wilson,male,11.03,1,0,A_00147,222.24,,S
148,0,3,Mr William Miller,male,32.2,1,0,PC_00148,234.27,,S
149,1,1,Ms Sarah Williams,female,29.45,0,0,A_00149,42.6,C116,S
150,0,3,Mrs Alice Wilson,female,50.06,0,0,PC_00150,115.37,,S
151,1,3,Mr James Smith,male,5.85,0,1,A_00151,98.92,,S
152,1,1,Master John Brown,male,45.37,0,1,PC_00152,14.03,,S
153,0,3,Miss Elisabeth Miller,female,33.63,0,1,A_00153,234.08,,S
154,1,3,Mrs Anna Williams,female,32.47,1,0,PC_00154,188.62,,C
155,0,3,Miss Sarah Jones,female,37.29,0,0,A_00155,81.87,,S
156,1,2,Master Edward Brown,male,44.02,1,0,A_00156,161.89,,S
157,1,2,Master William Jones,male,47.56,0,2,PC_00157,38.06,,S
158,1,2,Mrs Anna Johnson,female,19.46,1,0,PC_00158,78.43,,S
159,0,1,Mr James Miller,male,54.69,4,0,A_00159,33.74,B37,S
160,1,1,Mr John Williams,male,32.17,0,0,A_00160,187.57,,S
161,0,2,Mrs Emma Jones,female,23.82,0,0,PC_00161,113.18,,S
162,1,1,Master John Miller,male,45.24,1,0,A_00162,76.47,E108,S
163,1,2,Miss Anna Davis,female,14.92,0,0,PC_00163,214.36,,S
164,0,3,Mr John Jones,male,19.66,0,1,A_00164,108.78,,S
165,1,3,Mr George Smith,male,11.43,0,0,PC_00165,62.88,,S
166,1,3,Mrs Margaret Johnson,female,35.36,0,1,PC_00166,56.11,,S
167,0,3,Mr George Smith,male,29.27,1,0,PC_00167,37.95,,S
168,1,1,Mr Robert Miller,male,25.69,2,1,PC_00168,113.04,C31,S
169,1,3,Miss Margaret Brown,female,9.64,0,1,A_00169,65.97,,C
170,0,2,Ms Mary Davis,female,37.29,0,0,A_00170,50.26,,S
171,0,1,Mr George Johnson,male,16.62,0,6,A_00171,413.78,,S
172,0,3,Mr James Miller,male,31.35,0,0,A_00172,59.91,B35,S
173,0,3,Mr John Johnson,male,19.1,0,0,PC_00173,108.67,,Q
174,0,3,Miss Alice Wilson,female,24.45,0,0,A_00174,103.16,,Q
175,0,1,Master John Jones,male,37.03,0,1,A_00175,48.53,A51,S
176,0,3,Mr George Davis,male,40.83,0,0,PC_00176,39.7,B71,S
177,1,2,Mrs Sarah Brown,female,20.34,0,0,A_00177,20.63,,C
178,1,3,Mrs Emma Jones,female,39.56,0,0,PC_00178,76.94,,S
179,0,3,Mrs Elisabeth Brown,female,1.01,0,1,A_00179,267.99,,S
180,1,3,Miss Elisabeth Smith,female,53.63,0,0,A_00180,98.22,E52,S
181,0,3,Mr Charles Johnson,male,0.42,0,0,A_00181,106.27,,C
182,0,3,Miss Anna Williams,female,24.8,0,0,A_00182,166.37,,S
183,0,2,Mr John Wilson,male,40.72,1,0,PC_00183,42.01,,S
184,1,1,Miss Alice Wilson,female,58.47,0,0,A_00184,52.96,,Q
185,1,3,Mr Edward Smith,male,22.58,0,0,PC_00185,290.87,,S
186,1,3,Master William Davis,male,16.31,1,0,PC_00186,124.58,B49,S
187,0,2,Mr John Davis,male,51.23,0,0,PC_00187,27.38,,S
188,0,3,Master James Johnson,male,16.79,0,3,A_00188,94.07,,S
189,0,2,Mr Robert Brown,male,27.04,1,0,A_00189,36.92,,C
190,0,3,Mr Charles Williams,male,35.41,0,1,PC_00190,94.66,,S
191,1,1,Miss Margaret Jones,female,13.43,4,0,A_00191,382.47,,C
192,1,1,Miss Emma Johnson,female,38.63,0,0,A_00192,116.73,,S
193,0,3,Miss Alice Miller,female,12.59,0,0,A_00193,40.39,D69,S
194,0,3,Mr George Wilson,male,39.94,0,0,A_00194,82.36,,C
195,0,3,Mr Edward Smith,male,17.11,0,0,PC_00195,273.84,,C
196,0,3,Miss Margaret Miller,female,0.42,0,0,PC_00196,73.99,,C
197,0,3,Miss Emma Smith,female,20.58,0,0,A_00197,142.02,B3,Q
198,1,1,Mr Charles Johnson,male,35.94,1,1,PC_00198,90.95,,S
199,0,3,Miss Anna Jones,female,32.63,0,0,PC_00199,95.87,,S
200,1,1,Mr Charles Brown,male,25.61,0,0,A_00200,99.4,,S
201,0,3,Mr George Jones,male,19.18,0,0,A_00201,40.03,,S
202,1,3,Mrs Sarah Johnson,female,56.77,0,0,A_00202,122.09,A98,C
203,0,3,Mr Robert Jones,male,39.49,5,0,PC_00203,24.57,,S
204,1,3,Mr George Miller,male,60.1,0,0,A_00204,84.86,,S
205,1,3,Mr James Wilson,male,36.25,1,0,A_00205,28.61,,S
206,1,2,Miss Anna Williams,female,47.11,1,0,PC_00206,43.04,E44,S
207,1,1,Mrs Mary Johnson,female,40.23,0,1,A_00207,133.69,,C
208,0,3,Mr Edward Johnson,male,1.67,0,0,A_00208,147.29,,Q
209,0,2,Mrs Alice Miller,female,28.86,1,1,PC_00209,81.0,A29,S
210,0,3,Miss Elisabeth Smith,female,30.02,0,0,A_00210,49.97,,S
211,1,3,Mr Robert Jones,male,4.38,0,2,A_00211,179.19,,S
212,0,2,Mr Charles Davis,male,40.13,0,0,A_00212,28.79,,S
213,0,3,Miss Anna Brown,female,28.21,1,0,A_00213,21.11,,C
214,0,2,Mr Charles Smith,male,34.32,0,0,PC_00214,69.2,,S
215,0,3,Mr Edward Brown,male,28.88,1,0,PC_00215,66.6,,S
216,0,3,Mr Edward Jones,male,28.95,4,0,A_00216,9.86,,C
217,0,3,Mr Robert Johnson,male,7.12,1,1,PC_00217,66.78,,S
218,0,1,Mr Robert Johnson,male,45.04,0,0,PC_00218,29.26,A101,S
219,1,1,Miss Sarah Williams,female,17.78,1,0,A_00219,137.07,F13,C
220,1,3,Mr Charles Miller,male,56.03,1,2,A_00220,159.5,,S
221,0,3,Mrs Margaret Miller,female,37.67,2,3,A_00221,89.65,,S
222,0,3,Mr Charles Davis,male,33.2,0,0,A_00222,160.58,,C
223,0,3,Miss Mary Jones,female,27.11,0,0,PC_00223,55.81,,S
224,0,2,Mr George Smith,male,37.59,0,0,A_00224,141.92,,S
225,0,3,Mrs Anna Miller,female,18.95,0,0,A_00225,132.85,,S
226,0,3,Miss Sarah Jones,female,44.8,0,0,PC_00226,42.8,,S
227,0,2,Mr Charles Miller,male,34.96,0,0,PC_00227,18.46,,S
228,0,3,Miss Margaret Brown,female,31.32,0,0,A_00228,79.78,,S
229,1,2,Mr James Davis,male,46.27,0,0,A_00229,51.46,,S
230,0,2,Master William Smith,male,41.38,1,0,A_00230,16.87,F55,Q
231,0,3,Mr Robert Miller,male,8.42,1,3,PC_00231,204.36,B65,S
232,0,3,Mr Charles Johnson,male,20.18,0,0,A_00232,85.59,,S
233,0,3,Mr William Davis,male,38.86,0,1,A_00233,86.53,,S
234,1,2,Master Edward Williams,male,31.88,0,0,PC_00234,46.54,C50,S
235,1,1,Miss Elisabeth Wilson,female,30.71,1,5,A_00235,111.98,,C
236,1,3,Mr Edward Miller,male,23.45,0,0,A_00236,66.15,C64,S
237,0,3,Miss Mary Williams,female,33.68,0,0,A_00237,66.71,C36,S
238,0,3,Mr William Smith,male,44.02,1,2,A_00238,271.72,,S
239,0,3,Mr Charles Smith,male,39.42,0,1,A_00239,179.27,,S
240,0,3,Mr James Brown,male,12.48,0,0,PC_00240,96.26,C100,Q
241,1,2,Mr Edward Johnson,male,14.74,0,1,A_00241,110.82,,S
242,1,3,Mr George Jones,male,2.29,0,0,PC_00242,127.67,C31,C
243,0,3,Mr Charles Williams,male,24.4,0,0,PC_00243,123.62,,S
244,0,3,Mr Charles Wilson,male,29.67,2,0,A_00244,313.37,D37,S
245,1,3,Miss Mary Smith,female,6.55,0,0,PC_00245,68.65,,S
246,1,3,Mr Edward Smith,male,27.5,0,1,A_00246,100.77,,S
247,0,3,Mr Edward Johnson,male,25.75,0,0,A_00247,224.5,,S
248,0,3,Miss Alice Brown,female,4.12,0,0,A_00248,4.96,,C
249,0,2,Mr Edward Wilson,male,33.88,1,0,PC_00249,72.75,,S
250,1,2,Miss Emma Miller,female,37.26,0,0,A_00250,49.74,,S
251,0,3,Mr Charles Smith,male,21.69,1,1,A_00251,93.66,,C
252,1,2,Mrs Anna Smith,female,13.58,0,1,A_00252,44.06,,S
253,0,3,Mr Charles Miller,male,20.04,0,0,A_00253,164.74,,S
254,1,1,Miss Sarah Jones,female,27.18,0,0,A_00254,101.45,,S
255,1,3,Miss Anna Brown,female,55.73,2,0,A_00255,91.31,C106,C
256,0,3,Master James Williams,male,22.33,0,1,A_00256,23.65,,S
257,1,3,Mr John Wilson,male,1.74,1,0,A_00257,45.36,,S
258,0,3,Master James Davis,male,27.88,0,4,PC_00258,348.89,,S
259,1,1,Miss Anna Smith,female,27.87,0,0,PC_00259,157.16,E26,S
260,1,2,Mr James Miller,male,16.22,0,0,A_00260,130.44,,S
261,1,1,Master William Wilson,male,31.36,0,0,A_00261,50.72,D35,S
262,0,3,Miss Emma Jones,female,30.46,1,0,A_00262,115.52,,S
263,0,2,Mr William Jones,male,21.4,2,0,A_00263,295.71,,Q
264,1,2,Mrs Sarah Davis,female,44.12,0,0,A_00264,35.87,B88,S
265,0,1,Master Robert Williams,male,22.16,0,0,PC_00265,88.01,F61,S
266,1,3,Miss Emma Johnson,female,34.24,0,0,PC_00266,21.21,,S
267,1,1,Miss Margaret Wilson,female,25.57,1,0,A_00267,32.76,,C
268,0,3,Mr John Wilson,male,31.31,0,0,A_00268,139.33,,S
269,0,1,Mr Edward Davis,male,31.32,0,0,A_00269,108.46,,S
270,0,3,Mr George Jones,male,26.99,1,0,PC_00270,24.26,,S
271,1,3,Mr John Smith,male,39.38,0,0,PC_00271,131.93,C33,S
272,0,3,Mrs Margaret Johnson,female,21.44,0,0,A_00272,63.27,,S
273,1,1,Miss Emma Wilson,female,9.57,0,1,PC_00273,237.45,,C
274,1,1,Miss Alice Jones,female,0.42,0,0,PC_00274,38.16,,S
275,1,3,Mr Edward Wilson,male,3.68,0,0,A_00275,57.32,A64,S
276,0,1,Mr William Miller,male,70.21,8,0,A_00276,20.37,,S
277,0,3,Miss Anna Wilson,female,27.18,1,0,PC_00277,34.17,C83,S
278,0,3,Mr William Smith,male,30.41,0,0,A_00278,55.22,,C
279,0,3,Mr George Johnson,male,38.46,1,1,PC_00279,37.42,,S
280,0,1,Mr William Johnson,male,17.33,0,0,PC_00280,76.98,,S
281,0,3,Miss Sarah Jones,female,43.99,0,0,A_00281,184.85,,S
282,0,3,Master Charles Davis,male,14.8,0,0,A_00282,76.37,,S
283,0,3,Miss Margaret Miller,female,37.49,0,1,A_00283,112.27,,S
284,0,3,Mr Robert Wilson,male,47.41,0,0,A_00284,111.14,A73,S
285,0,3,Mr Charles Williams,male,22.84,1,0,PC_00285,241.83,,S
286,1,1,Mr Robert Williams,male,41.47,0,0,A_00286,117.81,,Q
287,1,3,Mrs Alice Davis,female,1.83,0,1,A_00287,75.66,B3,S
288,0,3,Master Robert Johnson,male,6.48,0,0,PC_00288,65.89,,C
289,1,2,Mr Charles Brown,male,5.6,0,0,A_00289,25.38,,S
290,0,1,Mr James Brown,male,36.51,0,1,A_00290,65.3,,C
291,1,1,Mr Charles Williams,male,50.11,0,0,A_00291,74.24,,S
292,1,1,Miss Anna Williams,female,12.02,0,0,A_00292,109.19,,S
293,0,2,Miss Anna Jones,female,29.86,0,0,A_00293,161.55,,S
294,0,2,Mr George Smith,male,29.71,1,0,PC_00294,125.5,,Q
295,0,2,Master Charles Jones,male,35.87,0,6,PC_00295,20.84,,S
296,1,2,Mr Charles Miller,male,40.52,0,1,A_00296,157.24,F36,S
297,1,3,Miss Anna Johnson,female,20.7,1,2,PC_00297,145.25,,C
298,1,1,Mr John Jones,male,44.9,1,1,A_00298,138.31,,C
299,0,3,Mr William Smith,male,36.76,1,0,A_00299,142.8,,S
300,0,3,Mrs Emma Wilson,female,8.73,0,0,A_00300,41.19,,S
301,0,3,Mr John Wilson,male,56.84,0,2,A_00301,118.21,,S
302,0,3,Master Edward Jones,male,80,0,0,A_00302,197.77,,C
303,1,3,Mr Robert Smith,male,29.48,1,0,PC_00303,206.78,,S
304,1,3,Mr James Johnson,male,27.55,1,2,A_00304,219.85,,C
305,1,3,Mr Robert Jones,male,46.39,0,1,A_00305,146.48,,S
306,0,2,Mr Robert Wilson,male,10.09,0,0,PC_00306,5.11,,Q
307,0,1,Mr Edward Jones,male,35.5,1,0,A_00307,36.44,A107,C
308,0,3,Mr Edward Jones,male,13.73,1,0,A_00308,115.53,,S
309,1,3,Miss Anna Johnson,female,28.2,1,0,A_00309,81.78,,Q
310,0,3,Miss Elisabeth Brown,female,15.93,0,0,A_00310,33.32,,S
311,1,1,Mr James Jones,male,32.42,1,1,A_00311,67.1,,S
312,0,3,Master Edward Smith,male,15.18,0,0,A_00312,40.95,,S
313,0,3,Miss Sarah Smith,female,30.34,1,0,PC_00313,184.35,,S
314,0,3,Miss Alice Johnson,female,48.17,0,0,A_00314,291.65,D78,S
315,0,1,Mr William Johnson,male,27.62,0,0,A_00315,43.33,,S
316,0,3,Mr Robert Smith,male,38.98,1,0,PC_00316,4.2,,S
317,0,3,Mr William Jones,male,46.19,0,0,PC_00317,59.06,,S
318,0,3,Master Charles Wilson,male,31.27,0,2,PC_00318,225.9,F13,C
319,1,1,Mr George Johnson,male,26.85,0,0,A_00319,256.28,,S
320,0,2,Mr James Davis,male,27.6,1,0,PC_00320,92.31,,Q
321,1,2,Miss Sarah Johnson,female,20.79,0,0,A_00321,95.19,,S
322,1,1,Mr William Davis,male,14.23,0,0,A_00322,51.17,,C
323,0,3,Mr Edward Wilson,male,10.22,0,2,PC_00323,118.84,,S
324,0,1,Master George Smith,male,61.99,0,0,A_00324,146.72,,S
325,0,2,Master George Miller,male,34.02,0,1,A_00325,61.27,,S
326,0,3,Mr William Williams,male,15.94,0,0,A_00326,123.43,D93,S
327,0,3,Mr Robert Williams,male,28.43,5,0,A_00327,140.19,,S
328,0,3,Mr John Smith,male,17.55,0,0,A_00328,178.06,,Q
329,1,1,Mr George Johnson,male,34.33,1,4,A_00329,92.21,,S
330,0,3,Mr George Jones,male,49.85,0,0,A_00330,66.7,,S
331,1,1,Mr William Williams,male,33.19,0,0,A_00331,33.8,,S
332,0,1,Miss Alice Brown,female,21.27,0,0,A_00332,125.03,,S
333,0,1,Mr George Davis,male,0.42,0,0,A_00333,94.66,D4,S
334,0,2,Mrs Anna Jones,female,24.86,0,2,A_00334,27.65,,S
335,1,1,Miss Sarah Smith,female,17.48,1,0,A_00335,123.01,,S
336,0,1,Master George Johnson,male,11.83,0,0,A_00336,26.65,E34,S
337,1,2,Miss Margaret Davis,female,47.05,0,0,A_00337,42.36,,S
338,0,3,Mr John Williams,male,38.33,0,0,A_00338,22.34,,Q
339,0,3,Mr John Smith,male,27.11,0,0,A_00339,176.31,,C
340,0,3,Miss Mary Davis,female,32.7,2,0,A_00340,86.2,,S
341,0,2,Master John Wilson,male,45.3,1,0,A_00341,136.74,,C
342,1,1,Mr John Brown,male,21.08,0,0,A_00342,96.93,E79,S
343,1,2,Mrs Emma Williams,female,11.42,0,0,A_00343,80.18,A10,S
344,1,3,Mr Edward Johnson,male,32.75,0,0,A_00344,136.87,D57,S
345,1,1,Master William Smith,male,5.19,1,0,A_00345,31.79,,S
346,0,1,Mr Robert Johnson,male,22.29,0,0,PC_00346,28.12,A73,S
347,0,2,Miss Elisabeth Wilson,female,50.28,0,0,A_00347,105.48,C90,S
348,0,2,Master Robert Williams,male,29.34,0,0,PC_00348,18.94,,C
349,1,1,Mr John Wilson,male,19.68,0,2,A_00349,89.72,B114,C
350,0,3,Mr William Johnson,male,6.61,0,1,A_00350,65.77,,S
351,0,3,Mr George Smith,male,47.86,0,0,PC_00351,172.42,D118,S
352,1,2,Miss Emma Brown,female,19.45,0,1,A_00352,119.95,,Q
353,0,2,Miss Alice Smith,female,36.53,0,0,A_00353,36.56,,C
354,1,3,Miss Mary Smith,female,9.87,0,0,A_00354,160.08,,Q
355,0,3,Mrs Mary Davis,female,24.25,1,0,A_00355,214.78,,S
356,0,1,Mr John Johnson,male,33.96,1,0,A_00356,317.39,,C
357,0,1,Mr Edward Brown,male,41.06,0,1,A_00357,34.79,,S
358,1,2,Miss Emma Jones,female,29.15,0,0,A_00358,89.56,,S
359,1,3,Miss Elisabeth Smith,female,12.73,0,2,PC_00359,23.82,,C
